County/ Sub-County,Conventional Households,Earth/ Sand,Dung,"Wood
planks/
Shingles/
Timber","Palm/
Bamboo",Parquet or polished wood,Vinyl or asphal tstrips,Ceramic tiles,"Concrete/
Cement/Terrazo","Wall to wall
Carpet","Not
Stated"
AINABKOI,34862,14.8,19.8,0.5,0,0.7,0.3,15.7,45.8,2.5,0
KAPSERET,59678,10.8,9.2,0.2,0,0.4,0.4,16,61.6,1.3,0
KESSES,34623,21.4,29.7,1.2,0,0.2,0.1,9,37.2,1.2,0
MOIBEN,46602,10.9,21.8,0.2,0,0.1,0.1,17.8,46.8,2.2,0
SOY,53758,18.4,29.5,0.2,0,0.2,0.1,7.2,43.3,1,0
TURBO,71587,11.4,18.5,0.1,0,0.2,0.1,13.3,54.4,1.9,0
ELGEYO/MARAKWET,99119,29.2,39.5,0.5,0.1,0.1,0,2.6,27.4,0.5,0
KEIYO NORTH,21749,21.7,33.4,0.2,0,0.1,0,5.9,37.8,0.9,0
KEIYO SOUTH,26740,19.8,46.6,0.9,0,0.2,0.1,1.9,29.6,0.9,0
MARAKWET EAST,21123,48.2,30.2,0.5,0.5,0.1,0,0.9,19.4,0.1,0
MARAKWET WEST,29507,29.8,44.1,0.3,0,0,0,2.1,23.5,0.1,0
NANDI,199040,17.2,39.9,0.2,0,0.1,0,4.9,36.9,0.9,0
CHESUMEI,39011,13.4,32,0.1,0,0,0,8.8,44.2,1.5,0
NANDI CENTRAL,34247,15.5,35.3,0.1,0,0.1,0.1,6.8,40.9,1.1,0
NANDI EAST,29249,15.8,30.2,0.3,0,0.1,0,3.8,48.4,1.2,0
NANDI NORTH,35257,18.1,48.9,0.1,0.1,0.1,0.1,3.2,29,0.4,0
NANDI SOUTH,37038,20.7,45.5,0.1,0,0,0,3.7,29.6,0.4,0
TINDERET,24238,20.4,49.2,0.4,0,0,0,1.4,27.9,0.6,0
BARINGO,141877,47.2,15.4,1.3,0.1,0.2,0,2.5,32.8,0.4,0
BARINGO CENTRAL,23523,32.9,13.5,0.2,-,0.1,0,4.6,48,0.7,0
BARINGO NORTH,23345,57.4,13.7,0.7,0,0,0,1.1,26.9,0.1,0
EAST POKOT,14392,77,11.5,2.8,0.7,0.2,0.1,0.4,7.2,0.1,-
KOIBATEK,30752,24.3,22.1,3.3,0,0.6,0,4.5,44.3,0.8,0
MARIGAT,19658,51.6,11.5,0.3,0,0.1,0,1.5,34.6,0.4,0
MOGOTIO,18169,42.7,17.7,0.1,-,0.1,0,2.7,36.5,0.2,-
TIATY EAST,12038,77.7,12.3,1.3,0.2,0.1,0,0.3,8,0,0
LAIKIPIA,145776,49.9,3,0.5,0,0.2,0.1,4.8,39.8,1.7,0
LAIKIPIA CENTRAL,29877,50.3,0.2,0.5,0,0.2,0.1,5.9,41.3,1.5,0
LAIKIPIA EAST,31311,35,1.1,0.4,0,0.3,0.1,6.4,54.3,2.3,0
LAIKIPIA NORTH,7694,76.6,4.5,0.6,0.2,0.2,0.2,0.6,16.8,0.2,0
LAIKIPIA WEST,32821,64.6,7.1,0.3,0,0.1,0,2.6,24.5,0.7,0
NYAHURURU,44073,44.5,3,0.5,0,0.1,0.1,5.4,43.8,2.5,0
NAKURU,598237,27.9,7.7,0.3,0,0.2,0.2,10.6,51.4,1.7,0
GILGIL,49405,35.5,2.4,0.1,0,0.4,0.1,11.8,48,1.7,0
KURESOI NORTH,40168,48.4,30.1,0.8,0,0.1,0,1.4,18.4,0.7,0
KURESOI SOUTH,34543,32.1,36,0.4,0,0.1,0,1.9,28.5,1,0
MOLO,41439,44.1,8,0.6,0,0.2,0.1,5.5,40.5,1.1,0
NAIVASHA,111493,18.6,0.6,0.1,0,0.2,0.4,11.5,65.9,2.6,0
NAKURU EAST,60066,7.5,0.3,0.2,0,0.4,0.2,23.8,64.8,2.8,0
NAKURU NORTH,61582,23.5,1.4,0.2,0,0.1,0.1,16,57.2,1.5,0
NAKURU WEST,64429,9.1,1.5,0.2,0,0.3,0.1,10.9,75.6,2.1,0
NJORO,61156,48.2,12.1,0.3,0.1,0.1,0.1,4.8,33.2,1.2,0
RONGAI,52248,28.4,11,0.3,0,0.1,0.1,12.3,46.7,0.9,0
SUBUKIA,21708,48.1,5.8,0.2,0,0.1,0,3.7,41.2,0.7,0
NAROK,238115,46.3,28.1,0.3,0.1,0.2,0.1,3.2,20.8,0.9,0
NAROK EAST,24860,67.4,5.2,0.2,0.1,0.1,0,2.6,23.3,1,0
NAROK NORTH,59802,49.7,8,0.4,0.1,0.2,0.1,8.1,31.8,1.7,0
NAROK SOUTH,46549,56,28.6,0.7,0.1,0.2,0.1,1.1,12.7,0.4,0
NAROK WEST,37782,41.3,40.9,0.2,0.1,0.2,0.1,1.7,14.6,1.1,0
TRANS MARA EAST,20439,26.8,64.1,0.2,0.1,0,0,0.5,8.2,0.1,0
TRANS MARA WEST,48683,34.3,38.8,0.2,0,0.1,0,1.9,24.1,0.5,0
MAU FOREST,-,-,-,-,-,-,-,-,-,-,-
KAJIADO,313218,21.7,1.2,0.3,0.1,0.3,0.2,18.8,56,1.4,0
ISINYA,71395,5.9,0.1,0.4,0.1,0.4,0.1,27.3,64.1,1.4,0.1
KAJIADO CENTRAL,37059,39.1,2.8,0.3,0.1,0.1,0,8.8,48,0.8,0
KAJIADO NORTH,100908,4.9,0.1,0.3,0,0.5,0.3,28.2,63.6,2.2,0
KAJIADO WEST,42367,41,4,0.3,0.1,0.2,0.1,9.5,43.8,1.1,0
LOITOKITOK,45581,49.4,1.5,0.3,0.1,0.1,0.1,4.9,42.8,0.8,0
MASHUURU,15908,27.7,0.6,0.2,0.2,0.6,0.1,8.2,61.3,1.2,0
KERICHO,205932,16.8,37.3,0.4,0,0.2,0.1,4.7,39.2,1.4,0
BELGUT,34978,13.6,30.4,0.1,0,0.3,0.1,5.1,49.2,1.1,0
BURETI,43098,21,37.3,0.1,0,0.2,0,5.2,33.8,2.3,0
KERICHO EAST,44246,10.1,23.8,0.1,0,0.2,0.1,7.6,56.4,1.6,0.1
KIPKELION,24676,20.7,55.3,1.2,0,0.2,0.1,1.1,20.6,0.7,0
