County,SubCounty,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
KAKAMEGA,NAVAKHOLO,153977,73275,80695,32315,"32,315 ", -,259,594
VIHIGA,,590013,283678,306323,143365,"143,288 ", 77,564,1047
VIHIGA,EMUHAYA,97141,46507,50633,23804,"23,803 ", 1,89,1091
VIHIGA,VIHIGA,95292,45788,49501,23375,"23,359 ", 16,90,1058
VIHIGA,SABATIA,131628,62944,68683,31422,"31,391 ", 31,111,1181
VIHIGA,LUANDA,106694,51525,55165,26766,"26,766 ", -,84,1265
VIHIGA,HAMISI,159241,76901,82337,37986,"37,965 ", 21,157,1013
VIHIGA,KAKAMEGA FOREST,17,13,4,12,4 , 8,32,1
BUNGOMA,,1670570,812146,858389,358796,"357,714 "," 1,082",3024,552
BUNGOMA,BUMULA,215892,103368,112523,44954,"44,922 ", 32,345,625
BUNGOMA,BUNGOMA CENTRAL,177748,86302,91438,37803,"37,535 ", 268,233,764
BUNGOMA,BUNGOMA EAST,114548,55775,58771,24873,"24,798 ", 75,163,702
BUNGOMA,BUNGOMA NORTH,121317,58790,62526,24998,"24,940 ", 58,192,633
BUNGOMA,BUNGOMA SOUTH,287765,139705,148055,69151,"69,088 ", 63,321,896
BUNGOMA,CHEPTAIS,136035,67717,68312,26326,"26,007 ", 319,223,610
BUNGOMA,KIMILILI,162038,78560,83475,35263,"35,053 ", 210,180,902
BUNGOMA,MT ELGON,78873,38977,39893,15276,"15,230 ", 46,126,624
BUNGOMA,BUNGOMA WEST,119875,58225,61649,25172,"25,166 ", 6,211,568
BUNGOMA,TONGAREN,100343,48685,51657,21343,"21,343 ", -,185,542
BUNGOMA,WEBUYE WEST,152515,74180,78331,32839,"32,834 ", 5,239,638
BUNGOMA,MT ELGON FOREST,3621,1862,1759,798,798 , -,606,6
BUSIA,,893681,426252,467401,198152,"197,944 ", 208,1700,526
BUSIA,BUNYALA,85977,41465,44511,19039,"19,028 ", 11,192,447
BUSIA,BUSIA,142408,69034,73373,33160,"33,152 ", 8,196,727
BUSIA,BUTULA,140334,65136,75195,32213,"32,199 ", 14,247,568
BUSIA,NAMBALE,111636,52900,58732,23892,"23,889 ", 3,238,469
BUSIA,SAMIA,107176,50821,56341,23884,"23,813 ", 71,262,408
BUSIA,TESO NORTH,138034,66412,71619,29395,"29,314 ", 81,261,529
BUSIA,TESO SOUTH,168116,80484,87630,36569,"36,549 ", 20,303,555
SIAYA,,993183,471669,521496,250698,"249,341 "," 1,357",2530,393
SIAYA,SIAYA,224343,105906,118433,57553,"57,386 ", 167,599,375
SIAYA,GEM,179792,85696,94092,44884,"44,696 ", 188,405,444
SIAYA,UGENYA,134354,62624,71726,33565,"33,554 ", 11,324,415
SIAYA,UGUNJA,104241,48912,55329,26328,"26,321 ", 7,201,519
SIAYA,BONDO,197883,95962,101917,51362,"50,454 ", 908,599,330
SIAYA,RARIEDA,152570,72569,79999,37006,"36,930 ", 76,402,379
KISUMU,,1155574,560942,594609,300745,"296,846 "," 3,899",2085,554
KISUMU,KISUMU EAST,220997,108304,112689,61871,"61,499 ", 372,142,1560
KISUMU,KISUMU CENTRAL,174145,84155,89985,52331,"52,163 ", 168,37,4737
KISUMU,KISUMU WEST,172821,85697,87121,45933,"42,785 "," 3,148",209,827
KISUMU,SEME,121667,57658,64007,29404,"29,404 ", -,268,454
KISUMU,MUHORONI,154116,76770,77345,37193,"36,982 ", 211,658,234
KISUMU,NYANDO,161508,77121,84380,38460,"38,460 ", -,446,362
KISUMU,NYAKACH,150320,71237,79082,35553,"35,553 ", -,327,460
HOMA BAY,,1131950,539560,592367,262036,"260,290 "," 1,746",3153,359
HOMA BAY,HOMA BAY,117439,55756,61681,29318,"28,471 ", 847,182,645
HOMA BAY,NDHIWA,218136,103706,114422,48062,"47,956 ", 106,713,306
HOMA BAY,RACHUONYO NORTH,178686,85409,93273,41809,"41,661 ", 148,435,410
HOMA BAY,RACHUONYO EAST,121822,57709,64111,27319,"27,229 ", 90,251,486
HOMA BAY,RACHUONYO SOUTH,130814,61663,69151,30990,"30,693 ", 297,256,511
HOMA BAY,RANGWE,117732,55404,62325,27003,"26,983 ", 20,274,429
HOMA BAY,SUBA NORTH,124938,60530,64406,29766,"29,662 ", 104,406,307
HOMA BAY,SUBA SOUTH,122383,59383,62998,27769,"27,635 ", 134,634,193
MIGORI,,1116436,536187,580214,240168,"238,133 "," 2,035",2613,427
MIGORI,AWENDO,117290,56348,60939,27033,"27,014 ", 19,255,459
