County /Sub-County,Population Age 15 years and Above Total,Population Age 15 years and AboveMale,Population Age 15 years and Above Female,Searched and Bought Goods/Services online Total,percent total,Searched and Bought Goods/Services onlineMale,per cent male,Searched and Bought Goods/Services onlinefemale,per cent female
MOLO,,,,2268,2.4,1438,3.1,830,1.7
NAIVASHA,,,,9574,4.2,5699,5.1,3873,3.4
NAKURU EAST,,,,13315,10.5,6986,11.8,6328,9.3
NAKURU NORTH,,,,7276,5.2,4227,6.4,3049,4.2
NAKURU WEST,,,,7906,6.2,4794,7.3,3112,5
NJORO,,,,3984,2.8,2604,3.8,1380,1.9
RONGAI,,,,5766,4.6,3333,5.4,2433,3.9
SUBUKIA,,,,1005,1.9,616,2.5,389,1.4
NAROK,,,,8496,1.5,5398,1.9,3098,1
NAROK EAST,,,,669,1.1,434,1.5,235,0.8
NAROK NORTH,,,,3789,2.8,2211,3.2,1578,2.3
NAROK SOUTH,,,,1027,0.9,704,1.2,323,0.5
NAROK WEST,,,,917,1,625,1.5,292,0.6
TRANS MARA EAST,,,,516,0.9,352,1.3,164,0.6
TRANS MARA WEST,,,,1576,1.3,1070,1.7,506,0.8
MAU FOREST,,,,2,6.3,2,7.1,-,-
KAJIADO,,,,48551,7.2,26190,7.8,22357,6.5
ISINYA,,,,13374,9.4,7210,10.1,6162,8.6
KAJIADO CENTRAL,,,,2334,2.8,1364,3.2,970,2.3
KAJIADO NORTH,,,,27052,12.9,14269,14,12781,11.9
KAJIADO WEST,,,,3269,3.3,1857,3.8,1412,2.8
LOITOKITOK,,,,1687,1.6,994,2,693,1.3
MASHUURU,,,,835,2.2,496,2.5,339,1.8
KERICHO,,,,13233,2.4,8257,3.1,4974,1.8
BELGUT,,,,2421,2.6,1511,3.3,910,2
BURETI,,,,2967,2.5,1855,3.1,1111,1.8
KERICHO EAST,,,,4516,4.2,2723,5,1793,3.4
KIPKELION,,,,723,1.1,492,1.5,231,0.7
LONDIANI,,,,1402,1.7,906,2.3,496,1.2
SOIN SIGOWET,,,,1204,1.6,770,2.1,433,1.2
BOMET,,,,10835,2.1,7067,2.8,3768,1.4
BOMET EAST,,,,1134,1.4,765,2,369,0.9
CHEPALUNGU,,,,1340,1.5,939,2.2,401,0.8
KONOIN,,,,2645,2.7,1776,3.5,869,1.8
SOTIK,,,,2818,2.1,1798,2.8,1020,1.5
BOMET CENTRAL,,,,2898,2.8,1789,3.4,1109,2.1
KAKAMEGA,,,,23249,2.2,13607,2.7,9642,1.7
BUTERE,,,,1416,1.6,834,2,582,1.2
KAKAMEGA CENTRAL,,,,7418,6.3,4217,7.3,3201,5.3
KAKAMEGA EAST,,,,1712,1.7,1043,2.3,669,1.3
KAKAMEGA NORTH,,,,2040,1.5,1222,1.9,818,1.2
KAKAMEGA SOUTH,,,,1200,1.8,655,2.1,545,1.5
KHWISERO,,,,1089,1.6,686,2.3,403,1.1
LIKUYANI,,,,1590,1.8,952,2.3,638,1.4
LUGARI,,,,1205,1.7,713,2.1,492,1.3
MATETE,,,,444,1.2,268,1.6,176,0.9
MATUNGU,,,,1098,1.2,672,1.6,426,0.9
MUMIAS EAST,,,,1275,1.9,740,2.4,535,1.5
MUMIAS WEST,,,,1766,2.7,1003,3.3,763,2.2
NAVAKHOLO,,,,996,1.2,602,1.6,394,0.9
VIHIGA,,,,7707,2.2,4474,2.7,3233,1.7
EMUHAYA,,,,913,1.6,556,2.1,357,1.2
VIHIGA,,,,1491,2.5,862,3.1,629,2
SABATIA,,,,1974,2.4,1094,2.9,880,2.1
LUANDA,,,,1397,2.2,838,2.8,559,1.7
HAMISI,,,,1932,2,1124,2.5,808,1.6
KAKAMEGA FOREST,,,,- ,-,-,-,-,-
BUNGOMA,,,,17887,1.9,10657,2.4,7229,1.5
BUMULA,,,,1066,0.9,638,1.2,428,0.7
BUNGOMA CENTRAL,,,,1734,1.7,1079,2.3,654,1.3
BUNGOMA EAST,,,,1418,2.2,830,2.7,588,1.7
BUNGOMA NORTH,,,,1254,1.9,766,2.4,488,1.4
BUNGOMA SOUTH,,,,6101,3.6,3463,4.3,2638,3
CHEPTAIS,,,,500,0.7,347,1,153,0.4
KIMILILI,,,,1536,1.7,903,2.1,633,1.3
MT. ELGON,,,,467,1.1,317,1.5,150,0.7
BUNGOMA WEST,,,,743,1.1,473,1.5,270,0.8
TONGAREN,,,,1032,1.8,624,2.4,408,1.4
WEBUYE WEST,,,,2030,2.4,1212,3,818,1.8
MT. ELGON FOREST,,,,6,0.3,5,0.5,1,0.1
BUSIA,,,,9885,1.9,5994,2.6,3891,1.4
BUNYALA,,,,1040,2.1,667,2.9,373,1.4
BUSIA,,,,2126,2.6,1245,3.3,881,2
BUTULA,,,,1316,1.7,770,2.2,546,1.2
NAMBALE,,,,974,1.6,581,2,393,1.2
SAMIA,,,,1020,1.6,629,2.2,391,1.2
TESO NORTH,,,,1494,1.9,947,2.6,547,1.3
TESO SOUTH,,,,1915,2,1155,2.6,760,1.5
SIAYA,,,,14384,2.5,8482,3.2,5902,1.9
SIAYA,,,,3616,2.8,2098,3.6,1518,2.1
GEM,,,,2333,2.2,1389,2.9,944,1.7
UGENYA,,,,1436,1.8,866,2.5,570,1.3
UGUNJA,,,,1525,2.5,880,3.2,645,1.9
BONDO,,,,3598,3.1,2146,3.9,1452,2.4
RARIEDA,,,,1876,2.1,1103,2.7,773,1.6
KISUMU,,,,34033,4.9,19378,5.9,14654,4
KISUMU EAST,,,,7698,5.6,4415,6.6,3283,4.7
KISUMU CENTRAL,,,,12589,11.2,6730,12.5,5859,9.9
KISUMU WEST,,,,5203,5,3079,6.1,2124,3.9
SEME,,,,1475,2.1,892,2.8,582,1.5
MUHORONI,,,,2078,2.4,1312,3,766,1.7
NYANDO,,,,2743,2.9,1593,3.7,1150,2.3
NYAKACH,,,,2247,2.6,1357,3.4,890,1.9
HOMA BAY,,,,15965,2.6,9701,3.4,6263,1.9
HOMA BAY,,,,3220,4.8,1841,6,1378,3.8
NDHIWA,,,,1872,1.6,1235,2.4,637,1
RACHUONYO NORTH,,,,2473,2.4,1530,3.3,943,1.7
RACHUONYO EAST,,,,1387,2.1,844,2.8,543,1.5
RACHUONYO SOUTH,,,,2006,2.7,1167,3.5,839,2.1
RANGWE,,,,1714,2.7,1029,3.7,685,1.9
SUBA NORTH,,,,2191,3.1,1309,3.9,882,2.4
SUBA SOUTH,,,,1102,1.7,746,2.4,356,1
MIGORI,,,,14080,2.4,8630,3.1,5450,1.7
AWENDO,,,,1671,2.6,1020,3.4,651,1.9
KURIA EAST,,,,885,1.8,559,2.4,326,1.3
KURIA WEST,,,,2327,2.1,1431,2.8,896,1.6
NYATIKE,,,,1599,1.7,1042,2.4,557,1.1
RONGO,,,,2031,2.9,1187,3.7,844,2.2
SUNA EAST,,,,2376,3.5,1384,4.4,992,2.8
SUNA WEST,,,,1959,2.8,1237,3.9,722,1.9
URIRI,,,,1232,1.6,770,2.2,462,1.2
KISII,,,,16800,2.2,10155,2.9,6644,1.6
ETAGO,,,,520,1.1,352,1.7,168,0.7
GUCHA,,,,1056,2.2,653,3,403,1.5
GUCHA SOUTH,,,,781,1.6,488,2.2,293,1.1
KENYENYA,,,,949,1.2,596,1.7,353,0.9
KISII CENTRAL,,,,4179,4,2459,5,1720,3.2
KISII SOUTH,,,,1765,2.2,1052,2.8,713,1.7
KITUTU CENTRAL,,,,3911,4.1,2218,4.9,1692,3.4
MARANI,,,,892,1.4,586,2.1,306,0.9
MASABA SOUTH,,,,1169,1.6,758,2.3,411,1
NYAMACHE,,,,1063,1.4,675,1.9,388,0.9
SAMETA,,,,515,1.3,318,1.7,197,0.9
NYAMIRA,,,,7907,2.2,4896,2.9,3011,1.5
BORABU,,,,1255,2.8,782,3.5,473,2.1
MANGA,,,,1184,2,739,2.8,445,1.4
MASABA NORTH,,,,1440,2.1,904,2.9,536,1.4
NYAMIRA NORTH,,,,1757,1.8,1078,2.4,679,1.3
NYAMIRA SOUTH,,,,2271,2.4,1393,3.1,878,1.7
