County/ Sub-County,ConventionalHouseholds,Makuti/Twigs,Makuti thatch,Dung/Mud,Iron sheets,Tins/cans,Asbestos  Concrete/sheet,Cement,Tiles,Canvas/Tents,Decra/Versatile,Nylon/Cartons/Cardboard,Shingles,Not Stated
KINANGOP,30847,0,0,0.1,96.7,0.1,1.1,1.1,0.3,0,0.4,0.3,0.1,0
NYANDARUA SOUTH,25650,0,0,0.1,96.5,0.1,0.9,1,0.1,0,0.3,1,0.1,0
MIRANGINE,17880,0,0,0.1,98.7,0.2,0.3,0.2,0.1,0,0.2,0.2,0,0
KIPIPIRI,25077,0.1,0,0.2,97.8,0.2,0.6,0.5,0.1,0,0.3,0.1,0.1,0
NYANDARUA CENTRAL,21852,0.1,0,0.1,96.6,0.1,1.1,1.3,0.2,0,0.4,0.1,0,0
NYANDARUA WEST,29003,0,0,0.1,97.1,0.1,0.7,1.1,0.2,0,0.3,0.4,0,0
NYANDARUA NORTH,27906,0.2,0,0.1,97.5,0.1,0.8,0.5,0.1,0,0.2,0.5,0,0
ABERDARE NATIONAL PARK,9,-,-,-,100,-,- ,-,-,-,-,-,-,-
NYERI,244564,0.1,0,0.1,93.8,0.1,1.6,2.9,0.5,0,0.6,0.2,0.1,0
TETU,24122,0,-,0,98,0.1,0.6,0.3,0.3,-,0.5,0.1,0.1,0
KIENI EAST,36751,0.5,0.1,0.1,95.2,0.1,1.4,1.6,0.2,0,0.5,0.4,0.1,0
KIENI WEST,27530,0.1,0,0.1,98.2,0.1,0.7,0.3,0.2,0,0.2,0.1,0.1,0
MATHIRA EAST,33945,0,0,0.1,91,0.1,1.9,5.7,0.5,0,0.5,0.1,0,0
MATHIRA WEST,18892,0.2,0,0.1,97.2,0.1,0.7,0.3,0.4,-,0.7,0.2,0.1,0
NYERI SOUTH,28103,-,0,0.1,94.9,0.2,1.2,2.2,0.3,0,0.6,0.4,0,0
MUKURWE-INI,27036,0,0,0.1,95.4,0.2,1.4,2.3,0.2,0,0.3,0,0,0
NYERI CENTRAL,48036,0,0,0,87.5,0.1,3.1,6.5,1.3,0,0.9,0.4,0.1,0
MT. KENYA FOREST,101,15.8,5,-,31.7,-,9.9,-,-,1,2,6.9,27.7,-
ABERDARE FOREST,48,-,-,-,100,-,- ,-,-,-,-,-,-,-
KIRINYAGA,203576,0,0,0.1,95,0.1,1.5,2.2,0.2,0,0.7,0.1,0,0
